"id","name","sku","barcode","category_id","purchase_price","selling_price","stock","min_stock","unit","created_at"
"50","FanIce Double Treat Strawberry &Vanilla","SKU-MSX82HME","6034000130690",,"33.50","40.00","1","0","pcs","""2026-08-17T12:40:52.420Z"""
"51","FanIce Vanilla Americana","SKU-MSX877WP","6033000540355",,"37.50","45.00","2","1","pcs","""2026-08-17T12:44:33.108Z"""
"52","FanIce Double Treat  Vanilla & Chocolate 1 liter","SKU-MSX9BYSX","6034000130058",,"33.50","40.00","1","0","pcs","""2026-08-17T13:16:14.204Z"""
"53","FanIce Strawberry Box 2liters","SKU-MSX9EVVA","6034000130287",,"54.00","64.00","1","0","pcs","""2026-08-17T13:18:30.371Z"""
"54","FanIce Vanilla 2Liters","SKU-MSX9GCNO","6034000130270",,"54.00","65.00","2","0","pcs","""2026-08-17T13:19:38.784Z"""
"55","FanIce Double Treat vanilla & strawberry 2liters","SKU-MSX9N2V4","6034000130126",,"58.00","70.00","1","0","pcs","""2026-08-17T13:24:52.685Z"""
"56","FanIce Double Treat vanilla & Chocolate 2liters","SKU-MSX9OSUT","6034000130133",,"58.00","70.00","2","0","pcs","""2026-08-17T13:26:13.026Z"""
"57","BEL -AQUA  PACK","SKU-MSX9UQD2",,,"28.00","38.00","3","1","pcs","""2026-08-17T13:30:49.732Z"""
"58","Bel Aqua Bottle Single","SKU-MSX9WQKU",,,"28.00","3.00","9","2","pcs","""2026-08-17T13:32:23.323Z"""
"59","AQUATORK  PACK","SKU-MSX9ZCJJ",,,"20.00","30.00","8","2","pcs","""2026-08-17T13:34:25.100Z"""
"60","AQUATORK SINGLE","SKU-MSXA0VGA",,,"1.25","3.00","11","5","pcs","""2026-08-17T13:35:36.261Z"""
"61","VOLTIC COOL SACHAT WATER","SKU-MSXA3LML",,,"10.00","12.00","6","3","pcs","""2026-08-17T13:37:43.497Z"""
"62","Kivo Gari ","SKU-MSXFE6C6","784300170266",,"3.00","5.00","32","15","pcs","""2026-08-17T16:05:54.981Z"""
"63","Cowbell  23g","SKU-MSXFLIRM","6008155018783",,"2.91","4.00","57","15","pcs","""2026-08-17T16:11:37.680Z"""
"64","Cowbell   14g","SKU-MSXFQ0MM","6008155018967",,"1.75","2.50","120","20","pcs","""2026-08-17T16:15:07.451Z"""
"65","Twisco All-in-One ","SKU-MSXFX92K","6008155022483",,"3.18","5.00","11","5","pcs","""2026-08-17T16:20:44.986Z"""
"66","Twisco All-in-One    (Roll)","SKU-MSXFZFSR","6008155022483",,"35.00","37.00","2","1","pcs","""2026-08-17T16:22:27.014Z"""
"67","NESCAFE  3 in 1","SKU-MSXG5F0X","6033000087256",,"3.18","5.00","80","20","pcs","""2026-08-17T16:27:05.949Z"""
"68","Miski Chocolate ","SKU-MSXG9C0S","6008155019926",,"3.00","5.00","60","20","pcs","""2026-08-17T16:30:08.683Z"""
"69","COWBELL Coffee","SKU-MSXGCAN7","6008155002027",,"3.50","5.00","117","30","pcs","""2026-08-17T16:32:26.865Z"""
"70","COWBELL CHOCO-MALT","SKU-MSXGE52R","6008155002317",,"3.50","5.00","57","20","pcs","""2026-08-17T16:33:52.960Z"""
"71","COWBELL STRAWBERRY","SKU-MSXGH94X","6008155002300",,"3.50","5.00","55","20","pcs","""2026-08-17T16:36:18.190Z"""
"72","COWBELL MOCHA","SKU-MSXGLHVZ","6008155019919",,"3.50","5.00","57","20","pcs","""2026-08-17T16:39:36.156Z"""
"73","Carnation Milk","SKU-MSXGUXSQ","6033000685001",,"9.00","11.00","39","10","pcs","""2026-08-17T16:46:56.679Z"""
"74","Peak Milk  Green","SKU-MSXH25BF","8716200680240",,"20.00","23.00","20","5","pcs","""2026-08-17T16:52:33.017Z"""
"75","Comfort Fresh Blue Skies","SKU-MT1SX1Y4","8720181638473",,"50.00","55.00","2","1","pcs","""2026-08-20T17:35:35.465Z"""
"76","Comfort fresh Sunshine days","SKU-MT1SY6UL","8720181638497",,"50.00","55.00","2","1","pcs","""2026-08-20T17:36:28.477Z"""
"77","Bingo Soft   Pink","SKU-MT1SZL2M","8690536079100",,"30.00","35.00","2","1","pcs","""2026-08-20T17:37:33.562Z"""
"78","Bingo Soft Purple","SKU-MT1T0YIQ","8690536923076",,"30.00","35.00","1","0","pcs","""2026-08-20T17:38:37.647Z"""
"79","Easy On Blue","SKU-MT1T3WBN","062338002156",,"20.00","25.00","2","1","pcs","""2026-08-20T17:40:54.768Z"""
"80","Easy On Purple","SKU-MT1T4M34","069403862004",,"20.00","25.00","2","1","pcs","""2026-08-20T17:41:28.159Z"""
"81","Madar Zone","SKU-MT1T6C7R","6210290119762",,"14.00","18.00","6","2","pcs","""2026-08-20T17:42:48.678Z"""
"82","Camel Original Anticeptics","SKU-MT1T8EVY","6033000100238",,"43.00","48.00","2","1","pcs","""2026-08-20T17:44:25.454Z"""
"83","Camel Lemon Anticeptics","SKU-MT1T98UD","6033000100207",,"43.00","48.00","2","1","pcs","""2026-08-20T17:45:04.274Z"""
"84","Camel Original Anticeptics","SKU-MT1TAKI4","6033000100221",,"22.00","25.00","3","1","pcs","""2026-08-20T17:46:06.044Z"""
"85","Camel Lemon Anticeptics","SKU-MT1TBFP2","6033000100191",,"22.00","25.00","3","1","pcs","""2026-08-20T17:46:46.469Z"""
"86","Savlon Antiseptics","SKU-MT1TCCLW","6003001000547",,"40.00","45.00","3","1","pcs","""2026-08-20T17:47:29.124Z"""
"87","Geisha Bathing Soap","SKU-MT1TFVLN",,,"11.00","15.00","21","7","pcs","""2026-08-20T17:50:13.706Z"""
"88","Kleesoft Laundry Soap","SKU-MT1TPZTQ","6034000307870",,"2.00","3.00","77","20","pcs","""2026-08-20T17:58:05.740Z"""
